"IdZonaFisica","IdCiudad","Codigo","Nombre","Descripcion","Latitud","Longitud","Zoom","TotSpaces_NotId","TotSpaces_Excluded","FechaValidez"
"1","1","11","11 Palacio","Mixta","40.414679439713","-3.7174025740143","15","492","48","2019-08-01 00:00:00.0000000 +02:00"
"2","1","12","12 Embajadores","","40.410223533354","-3.7024151667027","15","266","86","2019-08-01 00:00:00.0000000 +02:00"
"3","1","13","13 Cortes","","40.415073492064","-3.6975451925019","16","0","0","2020-09-01 00:00:00.0000000 +02:00"
"4","1","14","14 Justicia","","40.423317837099","-3.6968518265893","15","330","90","2019-08-01 00:00:00.0000000 +02:00"
"5","1","15","15 Universidad","","40.425276683202","-3.7073098960464","15","486","76","2016-09-01 00:00:00.0000000 +02:00"
"6","1","16","16 Sol","","40.417285281096","-3.7035979757893","16","40","13","2019-02-03 00:00:00.0000000 +01:00"
"7","1","21","21 Imperial","","40.406946125655","-3.7188554217195","15","1","31","2017-03-01 00:00:00.0000000 +01:00"
"8","1","22","22 Acacias","","40.401773215165","-3.7075263931462","15","706","46","NULL"
"9","1","23","23 Chopera","","40.3940806653","-3.699918201675","15","319","29","NULL"
"10","1","24","24 Legazpi","","40.389234798028","-3.6871044693345","15","649","33","NULL"
"11","1","25","25 Delicias","","40.395137930294","-3.6885872441147","15","773","109","NULL"
"12","1","26","26 Palos de Moguer","","40.403859544716","-3.693602357109","15","0","79","2017-01-03 00:00:00.0000000 +01:00"
"13","1","27","27 Atocha","Mixta","40.40048993912","-3.6836365122531","15","852","5","2017-01-03 00:00:00.0000000 +01:00"
"14","1","31","31 Pacífico","","40.402191145964","-3.675478331187","15","415","29","2016-10-01 00:00:00.0000000 +02:00"
"15","1","32","32 Adelfas","","40.400609825643","-3.6713390044431","15","366","15","NULL"
"16","1","33","33 Estrella","","40.414020016693","-3.6656370715749","15","0","29","2017-01-03 00:00:00.0000000 +01:00"
"17","1","34","34 Ibiza","","40.418778140806","-3.6743580244066","16","384","58","2016-10-01 00:00:00.0000000 +02:00"
"18","1","35","35 Jeronimos","","40.414159762005","-3.6849845555088","15","406","15","2016-09-01 00:00:00.0000000 +02:00"
"19","1","36","36 Niño Jesús","","40.412284527789","-3.673261136464","15","420","14","2016-09-01 00:00:00.0000000 +02:00"
"20","1","41","41 Recoletos","","40.425209969833","-3.6854970291613","15","565","163","2016-10-01 00:00:01.0000000 +02:00"
"21","1","42","42 Goya","","40.425975625235","-3.6739839779565","15","410","86","2016-10-01 00:00:01.0000000 +02:00"
"22","1","43","43 Fuente del Berro","","40.424850091882","-3.6628618270034","15","254","40","2016-10-01 00:00:00.0000000 +02:00"
"23","1","44","44 Guindalera","","40.43600288051","-3.6657050207861","15","1578","176","2016-09-01 00:00:00.0000000 +02:00"
"24","1","45","45 Lista","","40.433313216792","-3.6752402113414","15","366","54","2016-09-01 00:00:00.0000000 +02:00"
"25","1","46","46 Castellana","","40.432664723593","-3.6839902157464","15","454","76","2016-06-01 00:00:00.0000000 +02:00"
"26","1","51","51 El Viso","","40.444867704885","-3.6839836598944","15","1500","95","2017-01-02 00:00:00.0000000 +01:00"
"27","1","52","52 Prosperidad","","40.444216730922","-3.6685406800204","15","842","114","2016-08-01 00:00:00.0000000 +02:00"
"28","1","53","53 Ciudad Jardín","","40.4475192836","-3.6707185429933","15","657","76","2016-10-01 00:00:00.0000000 +02:00"
"29","1","54","54 Hispanoamérica","Mixta","40.455619144242","-3.6770741876634","15","1585","411","2016-10-01 00:00:00.0000000 +02:00"
"30","1","55","55 Nueva España","Mixta","40.462465817499","-3.6763360890618","15","1481","172","2016-10-01 00:00:00.0000000 +02:00"
"31","1","56","56 Castilla","","40.475289071335","-3.6781902995103","14.002656066285","845","85","2016-09-01 00:00:00.0000000 +02:00"
"32","1","61","61 Bellas Vistas","","40.452092703134","-3.7068777881969","15","400","22","2017-01-02 00:00:00.0000000 +01:00"
"33","1","62","62 Cuatro caminos","","40.45287434873","-3.6968490295708","15","924","81","2019-04-15 10:58:07.1170000 +00:00"
"34","1","63","63 Castillejos","","40.461048709574","-3.6940572159814","15","484","18","2016-07-01 00:00:00.0000000 +02:00"
"35","1","64","64 Almenara","","40.469269184819","-3.6937537000766","15","482","10","NULL"
"36","1","65","65 Valdeacederas","","40.466660236457","-3.7030197633592","15","201","31","NULL"
"37","1","66","66 Berruguete","","40.459582093017","-3.7046832222949","15","397","42","2019-02-03 00:00:00.0000000 +01:00"
"38","1","71","71 Gaztambide","","40.435017066421","-3.7140366142057","15","561","112","2016-10-01 00:00:00.0000000 +02:00"
"39","1","72","72 Arapiles","","40.434811521713","-3.7080352990699","15","0","88","2017-01-03 00:00:00.0000000 +01:00"
"40","1","73","73 Trafalgar","","40.43347659418","-3.7005172063668","15","470","75","2016-10-01 00:00:00.0000000 +02:00"
"41","1","74","74 Almagro","","40.43211925128","-3.6930312638022","15","677","102","2016-10-01 00:00:00.0000000 +02:00"
"42","1","75","75 Rios Rosas","","40.442418688119","-3.697391874704","15","609","30","2016-09-01 00:00:00.0000000 +02:00"
"43","1","76","76 Vallehermoso","","40.443047508537","-3.712229755918","15","795","27","2016-09-01 00:00:00.0000000 +02:00"
"44","1","84","84 Pilar","","40.47802565853","-3.7123428521691","15","548","11","NULL"
"45","1","85","85 La Paz","","40.481814813296","-3.696446656619","15","852","15","NULL"
"46","1","86","86 Casco Historico Fuencarral","","40.494705083661","-3.6904625507193","15","0","0","NULL"
"47","1","91","91 Casa de campo","Parcial","40.430197862642","-3.7612452321539","13","2200","239","2017-01-02 00:00:00.0000000 +01:00"
"48","1","92","92 Arguelles","","40.427567146032","-3.7181801743451","15","374","66","2016-08-01 00:00:00.0000000 +02:00"
"49","1","93","93 Ciudad Universitaria","","40.445704274118","-3.7228924925769","14.991052931967","603","16","2019-02-02 00:00:00.0000000 +01:00"
"50","1","116","116 Carabanchel Alto","","40.371351024779","-3.7487611280171","14","0","0","NULL"
"51","1","115","115 Carabanchel Bajo","","40.402318409358","-3.7459645815438","14","0","0","NULL"
"52","1","164","164 Casco Historico Hortaleza","","40.472758231719","-3.6411802710147","14","0","0","NULL"
"61","1","280","280 Taller MSM","Taller MSM","40.403749828141","-3.6703937986919","17","10","0","NULL"
"62","1","290","290 Taller DEVAS","Taller DEVAS","40.458160026036","-3.7030234488791","16","10","0","NULL"
"63","1","270","270 Taller SUFI-6","Taller SUFI-6","40.393440887409","-3.6891315281079","15","100","0","NULL"
"59","1","300","300 Test Parkare","300 Zona Test Parkare","40.392264234415","-3.6841533846224","13.000011344676","100","0","NULL"
"71","1","94","94 Valdezarza","","40.464506527311","-3.71494584619","15","74","1","2019-11-06 12:18:13.2130000 +00:00"
